Epoch 042 | train_loss_norm=0.007795 | val_loss_norm=0.012568 | train_rmse_cycles≈11.478 | val_rmse_cycles≈14.574 | lr=2.01e-04
Epoch 043 | train_loss_norm=0.007711 | val_loss_norm=0.009597 | train_rmse_cycles≈11.415 | val_rmse_cycles≈12.735 | lr=1.96e-04
Epoch 044 | train_loss_norm=0.007547 | val_loss_norm=0.014717 | train_rmse_cycles≈11.294 | val_rmse_cycles≈15.771 | lr=1.92e-04
Epoch 045 | train_loss_norm=0.007713 | val_loss_norm=0.012316 | train_rmse_cycles≈11.417 | val_rmse_cycles≈14.427 | lr=1.87e-04
Epoch 046 | train_loss_norm=0.007574 | val_loss_norm=0.012173 | train_rmse_cycles≈11.314 | val_rmse_cycles≈14.343 | lr=1.82e-04
Epoch 047 | train_loss_norm=0.007539 | val_loss_norm=0.011753 | train_rmse_cycles≈11.287 | val_rmse_cycles≈14.094 | lr=1.77e-04
Epoch 048 | train_loss_norm=0.007518 | val_loss_norm=0.011246 | train_rmse_cycles≈11.272 | val_rmse_cycles≈13.786 | lr=1.72e-04
Epoch 049 | train_loss_norm=0.007093 | val_loss_norm=0.010208 | train_rmse_cycles≈10.948 | val_rmse_cycles≈13.134 | lr=1.67e-04
Epoch 050 | train_loss_norm=0.007283 | val_loss_norm=0.012100 | train_rmse_cycles≈11.095 | val_rmse_cycles≈14.300 | lr=1.62e-04
Epoch 051 | train_loss_norm=0.007223 | val_loss_norm=0.010035 | train_rmse_cycles≈11.048 | val_rmse_cycles≈13.023 | lr=1.57e-04
Epoch 052 | train_loss_norm=0.007186 | val_loss_norm=0.012015 | train_rmse_cycles≈11.020 | val_rmse_cycles≈14.250 | lr=1.52e-04
Epoch 053 | train_loss_norm=0.007135 | val_loss_norm=0.011882 | train_rmse_cycles≈10.981 | val_rmse_cycles≈14.171 | lr=1.48e-04
Epoch 054 | train_loss_norm=0.007318 | val_loss_norm=0.011594 | train_rmse_cycles≈11.121 | val_rmse_cycles≈13.998 | lr=1.43e-04
Epoch 055 | train_loss_norm=0.006955 | val_loss_norm=0.011033 | train_rmse_cycles≈10.841 | val_rmse_cycles≈13.655 | lr=1.38e-04
Epoch 056 | train_loss_norm=0.006965 | val_loss_norm=0.010331 | train_rmse_cycles≈10.850 | val_rmse_cycles≈13.213 | lr=1.33e-04
Epoch 057 | train_loss_norm=0.006886 | val_loss_norm=0.012794 | train_rmse_cycles≈10.787 | val_rmse_cycles≈14.705 | lr=1.28e-04
Epoch 058 | train_loss_norm=0.007226 | val_loss_norm=0.013684 | train_rmse_cycles≈11.051 | val_rmse_cycles≈15.207 | lr=1.23e-04
Early stop at epoch 58 | best_val_loss=0.009115
Saved clustering pipeline to: runs/mkt3432_proof_workspace/clustering
Trained model: cnn1d
Output directory: runs/mkt3432_proof_workspace/cnn1d
