Epoch 001 | train_loss_norm=0.478477 | val_loss_norm=0.453404 | train_rmse_cycles≈89.924 | val_rmse_cycles≈87.536 | lr=2.00e-04
Epoch 002 | train_loss_norm=0.179866 | val_loss_norm=0.107729 | train_rmse_cycles≈55.134 | val_rmse_cycles≈42.669 | lr=3.00e-04
Epoch 003 | train_loss_norm=0.079497 | val_loss_norm=0.039001 | train_rmse_cycles≈36.654 | val_rmse_cycles≈25.673 | lr=4.00e-04
Epoch 004 | train_loss_norm=0.048158 | val_loss_norm=0.027369 | train_rmse_cycles≈28.528 | val_rmse_cycles≈21.507 | lr=5.00e-04
Epoch 005 | train_loss_norm=0.036771 | val_loss_norm=0.017273 | train_rmse_cycles≈24.929 | val_rmse_cycles≈17.086 | lr=5.00e-04
Epoch 006 | train_loss_norm=0.032127 | val_loss_norm=0.013631 | train_rmse_cycles≈23.301 | val_rmse_cycles≈15.178 | lr=5.00e-04
Epoch 007 | train_loss_norm=0.030104 | val_loss_norm=0.012931 | train_rmse_cycles≈22.556 | val_rmse_cycles≈14.783 | lr=5.00e-04
Epoch 008 | train_loss_norm=0.028732 | val_loss_norm=0.011593 | train_rmse_cycles≈22.035 | val_rmse_cycles≈13.997 | lr=4.99e-04
Epoch 009 | train_loss_norm=0.028054 | val_loss_norm=0.014363 | train_rmse_cycles≈21.774 | val_rmse_cycles≈15.580 | lr=4.99e-04
Epoch 010 | train_loss_norm=0.026588 | val_loss_norm=0.012339 | train_rmse_cycles≈21.198 | val_rmse_cycles≈14.441 | lr=4.98e-04
Epoch 011 | train_loss_norm=0.026171 | val_loss_norm=0.010887 | train_rmse_cycles≈21.031 | val_rmse_cycles≈13.564 | lr=4.97e-04
Epoch 012 | train_loss_norm=0.025539 | val_loss_norm=0.011695 | train_rmse_cycles≈20.775 | val_rmse_cycles≈14.059 | lr=4.95e-04
Epoch 013 | train_loss_norm=0.025327 | val_loss_norm=0.011861 | train_rmse_cycles≈20.689 | val_rmse_cycles≈14.158 | lr=4.94e-04
Epoch 014 | train_loss_norm=0.024916 | val_loss_norm=0.011332 | train_rmse_cycles≈20.520 | val_rmse_cycles≈13.839 | lr=4.92e-04
Epoch 015 | train_loss_norm=0.024195 | val_loss_norm=0.010292 | train_rmse_cycles≈20.221 | val_rmse_cycles≈13.188 | lr=4.91e-04
Epoch 016 | train_loss_norm=0.024340 | val_loss_norm=0.009283 | train_rmse_cycles≈20.282 | val_rmse_cycles≈12.525 | lr=4.89e-04
Epoch 017 | train_loss_norm=0.024203 | val_loss_norm=0.010819 | train_rmse_cycles≈20.224 | val_rmse_cycles≈13.522 | lr=4.87e-04
Epoch 018 | train_loss_norm=0.024174 | val_loss_norm=0.011511 | train_rmse_cycles≈20.212 | val_rmse_cycles≈13.947 | lr=4.84e-04
Epoch 019 | train_loss_norm=0.023908 | val_loss_norm=0.010138 | train_rmse_cycles≈20.101 | val_rmse_cycles≈13.089 | lr=4.82e-04
Epoch 020 | train_loss_norm=0.024173 | val_loss_norm=0.009342 | train_rmse_cycles≈20.212 | val_rmse_cycles≈12.565 | lr=4.79e-04
Epoch 021 | train_loss_norm=0.023617 | val_loss_norm=0.011539 | train_rmse_cycles≈19.978 | val_rmse_cycles≈13.965 | lr=4.76e-04
Epoch 022 | train_loss_norm=0.023355 | val_loss_norm=0.010286 | train_rmse_cycles≈19.867 | val_rmse_cycles≈13.185 | lr=4.74e-04
Epoch 023 | train_loss_norm=0.023185 | val_loss_norm=0.010854 | train_rmse_cycles≈19.795 | val_rmse_cycles≈13.544 | lr=4.70e-04
Epoch 024 | train_loss_norm=0.023006 | val_loss_norm=0.010693 | train_rmse_cycles≈19.718 | val_rmse_cycles≈13.443 | lr=4.67e-04
Epoch 025 | train_loss_norm=0.022883 | val_loss_norm=0.011782 | train_rmse_cycles≈19.665 | val_rmse_cycles≈14.111 | lr=4.64e-04
Epoch 026 | train_loss_norm=0.022978 | val_loss_norm=0.008140 | train_rmse_cycles≈19.706 | val_rmse_cycles≈11.729 | lr=4.60e-04
Epoch 027 | train_loss_norm=0.022141 | val_loss_norm=0.009980 | train_rmse_cycles≈19.344 | val_rmse_cycles≈12.987 | lr=4.56e-04
Epoch 028 | train_loss_norm=0.022101 | val_loss_norm=0.008477 | train_rmse_cycles≈19.326 | val_rmse_cycles≈11.969 | lr=4.52e-04
Epoch 029 | train_loss_norm=0.021483 | val_loss_norm=0.012561 | train_rmse_cycles≈19.054 | val_rmse_cycles≈14.570 | lr=4.48e-04
Epoch 030 | train_loss_norm=0.021682 | val_loss_norm=0.010144 | train_rmse_cycles≈19.142 | val_rmse_cycles≈13.093 | lr=4.44e-04
Epoch 031 | train_loss_norm=0.022171 | val_loss_norm=0.009858 | train_rmse_cycles≈19.357 | val_rmse_cycles≈12.907 | lr=4.40e-04
Epoch 032 | train_loss_norm=0.021847 | val_loss_norm=0.009388 | train_rmse_cycles≈19.215 | val_rmse_cycles≈12.596 | lr=4.35e-04
Epoch 033 | train_loss_norm=0.021448 | val_loss_norm=0.009312 | train_rmse_cycles≈19.039 | val_rmse_cycles≈12.545 | lr=4.30e-04
Epoch 034 | train_loss_norm=0.021095 | val_loss_norm=0.008355 | train_rmse_cycles≈18.881 | val_rmse_cycles≈11.882 | lr=4.26e-04
Epoch 035 | train_loss_norm=0.020881 | val_loss_norm=0.009554 | train_rmse_cycles≈18.785 | val_rmse_cycles≈12.707 | lr=4.21e-04
Epoch 036 | train_loss_norm=0.020509 | val_loss_norm=0.009814 | train_rmse_cycles≈18.617 | val_rmse_cycles≈12.878 | lr=4.16e-04
Epoch 037 | train_loss_norm=0.020548 | val_loss_norm=0.010231 | train_rmse_cycles≈18.635 | val_rmse_cycles≈13.149 | lr=4.10e-04
Epoch 038 | train_loss_norm=0.020376 | val_loss_norm=0.009401 | train_rmse_cycles≈18.557 | val_rmse_cycles≈12.604 | lr=4.05e-04
Epoch 039 | train_loss_norm=0.020404 | val_loss_norm=0.008903 | train_rmse_cycles≈18.569 | val_rmse_cycles≈12.266 | lr=4.00e-04
Epoch 040 | train_loss_norm=0.020038 | val_loss_norm=0.010977 | train_rmse_cycles≈18.402 | val_rmse_cycles≈13.620 | lr=3.94e-04
Epoch 041 | train_loss_norm=0.019736 | val_loss_norm=0.008786 | train_rmse_cycles≈18.263 | val_rmse_cycles≈12.186 | lr=3.89e-04
Epoch 042 | train_loss_norm=0.019718 | val_loss_norm=0.008881 | train_rmse_cycles≈18.254 | val_rmse_cycles≈12.251 | lr=3.83e-04
Epoch 043 | train_loss_norm=0.019104 | val_loss_norm=0.008499 | train_rmse_cycles≈17.968 | val_rmse_cycles≈11.985 | lr=3.77e-04
Epoch 044 | train_loss_norm=0.019618 | val_loss_norm=0.008076 | train_rmse_cycles≈18.208 | val_rmse_cycles≈11.683 | lr=3.71e-04
Epoch 045 | train_loss_norm=0.019025 | val_loss_norm=0.009603 | train_rmse_cycles≈17.931 | val_rmse_cycles≈12.740 | lr=3.65e-04
Epoch 046 | train_loss_norm=0.018890 | val_loss_norm=0.008465 | train_rmse_cycles≈17.868 | val_rmse_cycles≈11.961 | lr=3.59e-04
Epoch 047 | train_loss_norm=0.018924 | val_loss_norm=0.008780 | train_rmse_cycles≈17.883 | val_rmse_cycles≈12.182 | lr=3.53e-04
Epoch 048 | train_loss_norm=0.019001 | val_loss_norm=0.009015 | train_rmse_cycles≈17.920 | val_rmse_cycles≈12.343 | lr=3.46e-04
Epoch 049 | train_loss_norm=0.019230 | val_loss_norm=0.009279 | train_rmse_cycles≈18.028 | val_rmse_cycles≈12.523 | lr=3.40e-04
Epoch 050 | train_loss_norm=0.018693 | val_loss_norm=0.008610 | train_rmse_cycles≈17.774 | val_rmse_cycles≈12.063 | lr=3.34e-04
Epoch 051 | train_loss_norm=0.018776 | val_loss_norm=0.010436 | train_rmse_cycles≈17.814 | val_rmse_cycles≈13.280 | lr=3.27e-04
Epoch 052 | train_loss_norm=0.018919 | val_loss_norm=0.009790 | train_rmse_cycles≈17.881 | val_rmse_cycles≈12.863 | lr=3.21e-04
Epoch 053 | train_loss_norm=0.018839 | val_loss_norm=0.008816 | train_rmse_cycles≈17.843 | val_rmse_cycles≈12.206 | lr=3.14e-04
Epoch 054 | train_loss_norm=0.018429 | val_loss_norm=0.008402 | train_rmse_cycles≈17.648 | val_rmse_cycles≈11.916 | lr=3.08e-04
Epoch 055 | train_loss_norm=0.018713 | val_loss_norm=0.009230 | train_rmse_cycles≈17.783 | val_rmse_cycles≈12.490 | lr=3.01e-04
Epoch 056 | train_loss_norm=0.018790 | val_loss_norm=0.008240 | train_rmse_cycles≈17.820 | val_rmse_cycles≈11.801 | lr=2.94e-04
Epoch 057 | train_loss_norm=0.018544 | val_loss_norm=0.008806 | train_rmse_cycles≈17.703 | val_rmse_cycles≈12.199 | lr=2.87e-04
Epoch 058 | train_loss_norm=0.018479 | val_loss_norm=0.008888 | train_rmse_cycles≈17.672 | val_rmse_cycles≈12.256 | lr=2.81e-04
Epoch 059 | train_loss_norm=0.018629 | val_loss_norm=0.009335 | train_rmse_cycles≈17.743 | val_rmse_cycles≈12.560 | lr=2.74e-04
Epoch 060 | train_loss_norm=0.018335 | val_loss_norm=0.008595 | train_rmse_cycles≈17.603 | val_rmse_cycles≈12.052 | lr=2.67e-04
Epoch 061 | train_loss_norm=0.018439 | val_loss_norm=0.008398 | train_rmse_cycles≈17.653 | val_rmse_cycles≈11.913 | lr=2.60e-04
Epoch 062 | train_loss_norm=0.018197 | val_loss_norm=0.009020 | train_rmse_cycles≈17.537 | val_rmse_cycles≈12.347 | lr=2.53e-04
Epoch 063 | train_loss_norm=0.018055 | val_loss_norm=0.009431 | train_rmse_cycles≈17.468 | val_rmse_cycles≈12.625 | lr=2.47e-04
Epoch 064 | train_loss_norm=0.017721 | val_loss_norm=0.008236 | train_rmse_cycles≈17.306 | val_rmse_cycles≈11.797 | lr=2.40e-04
Epoch 065 | train_loss_norm=0.017954 | val_loss_norm=0.007470 | train_rmse_cycles≈17.419 | val_rmse_cycles≈11.236 | lr=2.33e-04
Epoch 066 | train_loss_norm=0.017742 | val_loss_norm=0.008969 | train_rmse_cycles≈17.316 | val_rmse_cycles≈12.312 | lr=2.26e-04
Epoch 067 | train_loss_norm=0.017664 | val_loss_norm=0.007712 | train_rmse_cycles≈17.278 | val_rmse_cycles≈11.416 | lr=2.19e-04
Epoch 068 | train_loss_norm=0.017790 | val_loss_norm=0.008715 | train_rmse_cycles≈17.339 | val_rmse_cycles≈12.136 | lr=2.13e-04
Epoch 069 | train_loss_norm=0.017771 | val_loss_norm=0.009494 | train_rmse_cycles≈17.330 | val_rmse_cycles≈12.667 | lr=2.06e-04
Epoch 070 | train_loss_norm=0.017770 | val_loss_norm=0.008616 | train_rmse_cycles≈17.329 | val_rmse_cycles≈12.067 | lr=1.99e-04
Epoch 071 | train_loss_norm=0.017388 | val_loss_norm=0.008310 | train_rmse_cycles≈17.142 | val_rmse_cycles≈11.851 | lr=1.92e-04
Epoch 072 | train_loss_norm=0.017446 | val_loss_norm=0.008456 | train_rmse_cycles≈17.171 | val_rmse_cycles≈11.954 | lr=1.86e-04
Epoch 073 | train_loss_norm=0.017220 | val_loss_norm=0.008762 | train_rmse_cycles≈17.059 | val_rmse_cycles≈12.169 | lr=1.79e-04
Epoch 074 | train_loss_norm=0.017106 | val_loss_norm=0.007867 | train_rmse_cycles≈17.003 | val_rmse_cycles≈11.530 | lr=1.73e-04
Epoch 075 | train_loss_norm=0.017018 | val_loss_norm=0.007949 | train_rmse_cycles≈16.959 | val_rmse_cycles≈11.591 | lr=1.66e-04
Epoch 076 | train_loss_norm=0.017209 | val_loss_norm=0.007739 | train_rmse_cycles≈17.054 | val_rmse_cycles≈11.436 | lr=1.60e-04
Epoch 077 | train_loss_norm=0.017160 | val_loss_norm=0.007646 | train_rmse_cycles≈17.029 | val_rmse_cycles≈11.367 | lr=1.54e-04
Epoch 078 | train_loss_norm=0.017170 | val_loss_norm=0.007828 | train_rmse_cycles≈17.034 | val_rmse_cycles≈11.502 | lr=1.47e-04
Epoch 079 | train_loss_norm=0.017669 | val_loss_norm=0.007344 | train_rmse_cycles≈17.280 | val_rmse_cycles≈11.140 | lr=1.41e-04
Epoch 080 | train_loss_norm=0.017039 | val_loss_norm=0.008097 | train_rmse_cycles≈16.969 | val_rmse_cycles≈11.698 | lr=1.35e-04
Epoch 081 | train_loss_norm=0.017167 | val_loss_norm=0.008400 | train_rmse_cycles≈17.033 | val_rmse_cycles≈11.915 | lr=1.29e-04
Epoch 082 | train_loss_norm=0.017100 | val_loss_norm=0.006966 | train_rmse_cycles≈17.000 | val_rmse_cycles≈10.850 | lr=1.23e-04
Epoch 083 | train_loss_norm=0.016631 | val_loss_norm=0.007818 | train_rmse_cycles≈16.765 | val_rmse_cycles≈11.495 | lr=1.17e-04
Epoch 084 | train_loss_norm=0.016987 | val_loss_norm=0.008272 | train_rmse_cycles≈16.943 | val_rmse_cycles≈11.824 | lr=1.11e-04
Epoch 085 | train_loss_norm=0.016895 | val_loss_norm=0.008404 | train_rmse_cycles≈16.897 | val_rmse_cycles≈11.918 | lr=1.06e-04
Epoch 086 | train_loss_norm=0.017153 | val_loss_norm=0.008089 | train_rmse_cycles≈17.026 | val_rmse_cycles≈11.692 | lr=1.00e-04
Epoch 087 | train_loss_norm=0.016746 | val_loss_norm=0.008494 | train_rmse_cycles≈16.823 | val_rmse_cycles≈11.981 | lr=9.49e-05
Epoch 088 | train_loss_norm=0.016842 | val_loss_norm=0.007732 | train_rmse_cycles≈16.871 | val_rmse_cycles≈11.431 | lr=8.96e-05
Epoch 089 | train_loss_norm=0.016842 | val_loss_norm=0.007397 | train_rmse_cycles≈16.871 | val_rmse_cycles≈11.181 | lr=8.44e-05
Epoch 090 | train_loss_norm=0.016996 | val_loss_norm=0.008222 | train_rmse_cycles≈16.948 | val_rmse_cycles≈11.788 | lr=7.94e-05
